Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C28","50F","CP_Radial_D18.0mm_P7.50mm",23.8760,61.0870,0.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-43.9260,68.2550,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",37.9740,21.2550,0.0000,top
"H1","MountingHole_Pad","MountingHole_3mm",-50.5460,15.8750,0.0000,top
"H2","MountingHole_Pad","MountingHole_3mm",40.8940,15.8750,0.0000,top
"H3","MountingHole_Pad","MountingHole_3mm",40.8940,66.6750,0.0000,top
"H4","MountingHole_Pad","MountingHole_3mm",-50.5460,66.6750,0.0000,top
"J1","HEADER_2x01_PARALLEL","Straight_2x01",9.6520,50.9270,0.0000,top
"J2","HEADER_2x01","Straight_2x01",-24.3060,45.1230,0.0000,top
"J3","HEADER_2x03","SMD_2x03_WO_paste",12.6240,66.7050,90.0000,top
"J4","HEADER_2x03_PARALLEL","Straight_2x03",-10.2510,68.2600,90.0000,top
"J5","HEADER_2x03_PARALLEL","Straight_2x03",41.9100,51.9430,180.0000,top
"J6","MCC-SD (kouka z modulu)","MCC-SD",-41.6710,34.9250,-90.0000,top
"J7","Conn_01x06_Female","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",11.8010,14.8590,0.0000,top
"J8","Conn_01x07_Female","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",0.7490,67.2050,180.0000,top
"J9","Conn_01x04_Female","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",0.6250,14.8590,0.0000,top
"J10","HEADER_2x05_PARALLEL","Straight_2x05",-11.1760,14.8590,-90.0000,top
"J11","HEADER_2x07_PARALLEL","Straight_2x07",-23.8960,68.2350,90.0000,top
"J12","HEADER_2x05_PARALLEL","Straight_2x05",-24.6380,14.8590,90.0000,top
"J13","HEADER_2x02_PARALLEL","Straight_2x02",-36.0680,67.6910,90.0000,top
"J14","Conn_01x06_Female","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",23.9776,14.7574,0.0000,top
"J23","MCX","MCX",-50.5460,56.0070,0.0000,top
"J24","HEADER_2x03_PARALLEL","Straight_2x03",41.1040,42.3150,0.0000,top
"JP1","SolderJumper_3_Bridged12","SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels",16.5100,25.6540,180.0000,top
"JP2","SolderJumper_3_Bridged12","SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels",11.1460,25.6540,0.0000,top
"JP3","SolderJumper_3_Bridged12","SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels",-20.3200,22.9870,180.0000,top
"JP4","SolderJumper_3_Bridged12","SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels",2.0020,29.8450,0.0000,top
"JP5","ModeSelect","SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels",26.7970,27.1780,90.0000,top
"JP6","ModeSelect","SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels",23.8740,20.2550,90.0000,top
